Customer_ID,Age,Employment_Status,Credit_Card_Type,Location,Income,Credit_Score,Credit_Utilization,Missed_Payments,Loan_Balance,Debt_to_Income_Ratio,Account_Tenure,Payment_Risk_Score,Delinquent_Account,ML_Risk_Score,ML_Risk_Tier,Top_Risk_Factor
CUST0001,56,Employed,Student,Los Angeles,165580,398,0.390501929,3,16310,0.317396115,18,8,0,0.0563,Low Risk,Month_5
CUST0002,69,Self-employed,Standard,Phoenix,100999,493,0.312444033,6,17401,0.196092643,0,7,1,0.0181,Low Risk,Age
CUST0003,46,Self-employed,Platinum,Chicago,188416,500,0.359930239,0,13761,0.30165494,1,7,0,0.73,High Risk,Month_5
CUST0004,32,Unemployed,Platinum,Phoenix,101672,413,0.371400355,3,88778,0.264794439,15,8,0,0.0079,Low Risk,Month_2
CUST0005,60,Self-employed,Standard,Phoenix,38524,487,0.234715863,2,13316,0.510583483,11,7,0,0.0142,Low Risk,Credit_Utilization
CUST0006,25,Unemployed,Gold,New York,84042,700,0.65054043,6,48361,0.260687881,7,8,0,0.0052,Low Risk,Month_5
CUST0007,38,Employed,Platinum,New York,35056,354,0.390580941,3,4638,0.484265137,17,8,0,0.0318,Low Risk,Month_2
CUST0008,56,Employed,Student,New York,123215,415,0.532714667,5,55776,0.358695229,1,4,0,0.121,Low Risk,Month_5
CUST0009,36,Employed,Student,Phoenix,66991,405,0.413034848,5,45776,0.219854103,12,3,1,0.9676,High Risk,Month_4
CUST0010,40,Employed,Business,Los Angeles,34870,679,0.361823918,4,93922,0.333081093,5,8,0,0.0068,Low Risk,Age
CUST0011,28,Unemployed,Student,Chicago,42532,340,0.834455847,4,82909,0.269559025,5,6,0,0.0629,Low Risk,Age
CUST0012,28,Unemployed,Business,Chicago,70479,679,0.684586436,3,75777,0.324215749,8,6,0,0.0423,Low Risk,Month_2
CUST0013,41,Employed,Standard,Los Angeles,56975,320,0.12635992,0,15171,0.228610901,15,5,0,0.0091,Low Risk,Credit_Utilization
CUST0014,70,Retired,Standard,Los Angeles,117023,528,0.10517251,5,95136,0.469017763,10,6,0,0.0083,Low Risk,Credit_Utilization
CUST0015,53,Unemployed,Standard,Chicago,143148,617,0.708521767,0,2593,0.392539809,6,7,0,0.1119,Low Risk,Month_2
CUST0016,57,Self-employed,Gold,Houston,159356,601,0.396029322,0,1514,0.303178157,9,8,0,0.7565,High Risk,Month_4
CUST0017,41,Self-employed,Gold,New York,146484,543,0.170183533,3,74039,0.472911477,9,8,0,0.0244,Low Risk,Credit_Utilization
CUST0018,20,Unemployed,Business,New York,183152,823,0.709147027,0,28018,0.307427924,19,3,1,0.9702,High Risk,Employment_Status_Unemployed
CUST0019,39,Unemployed,Student,Chicago,81040,831,0.53382481,5,16034,0.409762496,17,5,0,0.1221,Low Risk,Month_6
CUST0020,70,Retired,Student,Los Angeles,181319,486,0.550314217,2,2420,0.303830059,19,8,0,0.0362,Low Risk,Month_2
CUST0021,19,Self-employed,Standard,Houston,199402,783,0.661907854,4,43942,0.339388759,8,3,0,0.2384,Low Risk,Payment_Risk_Score
CUST0022,41,Unemployed,Platinum,Chicago,40351,690,0.238004568,2,2200,0.291856122,14,7,1,0.9528,High Risk,Month_2
CUST0023,61,Unemployed,Gold,New York,154487,321,0.173699836,0,81757,0.309530135,3,2,0,0.0514,Low Risk,Credit_Utilization
CUST0024,47,Retired,Gold,Phoenix,108468,538,0.816190859,2,45776,0.317053186,7,5,1,0.9822,High Risk,Credit_Card_Type_Gold
